task_id	name	status	priority	issue_type	app_section	owner	parent	notes	created_at	completed_at
1213409303569223	color background outside canvas a cool dark gray to distinguish it from canvas area	Need Testing	High	Enhancement	Canvas	Unassigned			2026-02-23 18:42:10
1213409298716103	Group overide for style is not working in export	Backlog	High	Bug		Unassigned			2026-02-23 16:23:32	
1213783121489123	remove filters an d minify PIXXiJS	Backlog	High			Gustavo & Team			2026-03-24 22:29:06	
1213422319914133	when deletein the first keyframe with double click, Ican't get it back	Backlog	High	Bug		Unassigned			2026-02-24 11:14:51	
1213409303569226	Add Dot animation on a line	Backlog	Medium	Feature Request		Unassigned		Expand on the  DOTS functionality\n\nFrom what it is now to it's own area\n\nDots\n\n Pulldown with these three options\n\nAdd dots to the vertices\n\nvariables:\n    size of dot ( #amount )\n    Dot offset from point  ( #amount )\n    Filled  or outline  (toggle)\n\nDots moving along a path (on top of path)\nVariables:\n    number of dots ( #amount )\n    size of dot ( #amount )\n    Speed of movement ( #amount )\n\nDotted Line (moves from line stroke properties) ( I believe this is a pixijs shader function)\n    Dash size   ( #amount )\n    Gap Size   ( #amount )\n    Speed of movement ( #amount ). - (marching ants effect)	2026-02-23 18:42:37	
1213070073876294	Add timeline zoom controls	Backlog	Medium	UX/UI	Timeline	Unassigned		Feature Request: I need a way to zoom in and out of the timeline layer, excess length should scroll to the right.\n\nProposed Implementation: Put the control as a slider with magnifying glass plus/minus on each side in the bottom bar that contains the timeline length.\n\nExpected Behavior: Users should be able to zoom into timeline for detailed editing, with horizontal scrolling for navigation when zoomed in.	2026-02-01 15:46:22	
1213070073876333	Add double-click rename functionality	Backlog	Low			Unassigned		Feature Request: Double clicking on text in folder should trigger rename.\n\nExpected Behavior: \n\n    Double-clicking on any text/name in folder view should immediately enter rename mode\n    Should work consistently across all file/folder items\n    Provide clear visual feedback when in rename mode	2026-02-01 15:49:04	
1213387118254105	Export is not visible on white background	Backlog	Low	UX/UI	Timeline	Unassigned			2026-02-22 17:34:06	
1213070073876378	Fix react export	Backlog	Low	Technical Debt	Exporters	Unassigned			2026-02-01 16:22:31	
1213142138288915	Set default project state When starting a new project either don't add a layer or default to first frame of layer one pre-selected	Backlog	Low		General	Unassigned			2026-02-05 16:29:36	
1213589928739650	there is a small bug, when I switch shape from SVG to polygon, it doesn't switch to polygon, it stays as SVG	Backlog	Low	Bug	Animation Variables	Alexa			2026-03-10 11:13:15	
1213783121489132	video exporter doesn't cancel and percetnage timer is incorrect	Backlog	Low	Bug	Exporters	Alexa			2026-03-24 22:31:27	
1213070073876386	video thumbnails	Backlog	Low	Enhancement	Front Page	Unassigned		Create a thumbnail view of the file browser\n\nUse this thumbnail view later as home page placholders\n\nbnails?\n\nlittle mmoves of animations! yes\n\nupdated file	2026-02-01 22:41:37	
local-1776956514275-453925	Make background on thumbnails of uploaded svg files 50% gray	Do Next				Unassigned			2026-04-23 15:01:54	
local-1776955457607-986929	re-order assets in folders	Need Testing	High			Unassigned		Give me the ability to reorder assets in the folders so that they appear in a manually ordered sequence and not just by file name or however they are ordered right now. 	2026-04-23 14:44:17
1213387118254089	Add key frame to group is not working properly (maybe dont' fix)	Research & Plan	Medium	Bug	Timeline	Unassigned			2026-02-22 15:41:32	
1213070073876362	Label multiple "rotation" controls for clairty	Research & Plan	Medium	UX/UI	Animation Variables	Unassigned			2026-02-01 15:50:24	
1213387118254094	Need to be able to expand background, make animation not square	Research & Plan	Medium	Feature Request	General	Unassigned		Show "App" background and animation border in viewer screen to see where animation goes\n\nMake canvas resizable, allow to set size and format (crops in out)	2026-02-22 17:33:29	
1213387118254127	Add cleaner to export features to remove all empty variables	Research & Plan	Low	Technical Debt	Animation Variables	Unassigned		How you would implement this\nTo do this safely without corrupting data, you shouldn't just drop all zeroes, because sometimes a user explicitly wants a property to be 0 when its default is 100 (like opacity).\nInstead, you would write a small "cleaner" function right before generating the JSON payload:\n    When saving, the function compares the layer's properties against DEFAULT_ANIMATABLES.\n    Map over the data and\n    delete any property key where currentValue === defaultValue.\n    When loading the JSON back into the app, you simply run const mergedData = { ...DEFAULT_ANIMATABLES, ...savedData }.\nBecause we just set up fallback ?? 0 checks everywhere in the rendering logic (and established DEFAULT_ANIMATABLES in your store), your current codebase is practically ready to support this sparse data structure right now if you ever decide to write that cleanup function!	2026-02-22 19:08:43	
1213422319914144	not obvious that layers are nested in folders in timeline, make foldeers less indented	Research & Plan	Low	Feature Request	Timeline	Unassigned			2026-02-24 11:42:57	
1213070073876350	Add mouse controller for realtime animation	Research & Plan		Ideas	Canvas	Unassigned		Enhancement: Ability to add mouse controller to the animation for realtime playfulness.\n\nExpected Behavior: Users should be able to control animation parameters in real-time using mouse input, creating interactive and playful animation experiences.\n\n\nExplore binding mouse to different parameters\n\nCreate a panel that has a toggle for turning on mouse cnrol\n\nand offer a list of parameters to toggle and the layers it affects\n\nin the project view	2026-02-01 15:50:21	
1213422319914141	add offset to space x and y so it moves away from center	Research & Plan		Feature Request		Unassigned			2026-02-24 11:32:18	
1213589928739695	add URL in app for animations so you can "direct link" to any animation and preview it	Research & Plan		Feature Request		Alexa			2026-03-10 15:15:02	
1214168752190346	Make responsive	Research & Plan		Feature Request		Alexa			2026-04-21 11:24:41	
1213783121489129	Show Canvas and background ( and allow for resize of canvas	Research & Plan		Feature Request		Alexa			2026-03-24 22:31:11	
1213070081766424	Fix database connection timeout	Completed	Critical	Bug		Unassigned		Resolve intermittent database connection timeouts during peak usage hours.	2026-02-01 15:37:09	2026-02-05 22:26:23
1213409303569208	if a drag a layer bar past the begining or the end of the timeline, I lose it... it should stop before going over	Completed	Critical	Bug		Unassigned			2026-02-23 18:09:06	2026-02-23 19:31:23
1213387118254119	Missign being able to rotate Groups	Completed	Critical	Enhancement	Animation Variables	Unassigned			2026-02-22 18:55:13	2026-02-23 09:27:55
1213152762510383	Missing Recursive Rotation where every intances is rotated a bit more (like offset)	Completed	Critical	Enhancement	Animation Variables	Unassigned			2026-02-06 17:51:13	2026-02-23 16:13:31
1213152762510386	New folders appear at th bottom at first and then appear at top only when you refresh	Completed	Critical	Bug	File System	Unassigned			2026-02-06 18:13:51	2026-02-23 15:06:38
1213103523813983	change the way groups work. I don't need to select to layers to group	Completed	High		Timeline	Unassigned		Instead of selecting two layers and grouping with an icon for grouping selected layers\n\nIt should work like this\nand icon in the header of layer names should be a create folder icon\nClicking on it create a folder at the top of the stack\nI will then be able to drag layers in and out of that folder\n\nI won't need the ungroup selected layers icon; I can simply drag them out	2026-02-03 20:33:08	2026-02-23 19:29:38
1213783121489114	extract aminos and horoscope from player code ---->	Completed	High			Gustavo & Team			2026-03-24 22:27:22	2026-04-22 18:41:30
